s0,s1,s2,s3,s4,s5,s6,s7,action
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.03333333333333333,0.016666666666666666,0.016666666666666666,0.04,0.9966666666666667,0.59,0.6166666666666667,1.0,5
0.05333333333333334,0.03,0.03333333333333333,0.11666666666666667,0.8966666666666666,0.5633333333333334,0.62,1.0,5
0.07,0.043333333333333335,0.05,1.0,0.81,0.5433333333333333,0.6366666666666667,1.0,5
0.08333333333333333,0.056666666666666664,0.07,1.0,0.7333333333333333,0.5233333333333333,0.65,1.0,5
0.1,0.06666666666666667,0.09666666666666666,1.0,0.67,0.51,0.6766666666666666,1.0,5
0.10666666666666667,0.08,0.12,1.0,0.6233333333333333,0.5,0.7066666666666667,1.0,5
0.11,0.09,0.15333333333333332,1.0,0.58,0.49666666666666665,0.7466666666666667,1.0,5
0.11333333333333333,0.09666666666666666,0.18666666666666668,1.0,0.5466666666666666,0.49666666666666665,0.8033333333333333,1.0,5
0.12,0.10666666666666667,0.24666666666666667,1.0,0.52,0.49666666666666665,0.87,1.0,5
0.12333333333333334,0.12,0.37333333333333335,0.9066666666666666,0.49666666666666665,0.5066666666666667,0.9466666666666667,1.0,5
0.12333333333333334,0.13,1.0,0.8166666666666667,0.48,0.5166666666666667,1.0,0.4266666666666667,3
0.12333333333333334,0.14,1.0,0.74,0.47,0.5333333333333333,1.0,0.2966666666666667,3
0.12666666666666668,0.15,1.0,0.68,0.4633333333333333,0.56,1.0,0.24666666666666667,3
0.12333333333333334,0.16333333333333333,1.0,0.6333333333333333,0.4633333333333333,0.59,1.0,0.22,0
0.12333333333333334,0.16333333333333333,1.0,0.6366666666666667,0.46,0.5866666666666667,1.0,0.22666666666666666,0
